pais,country_code,anio,co2_MtCO2,poblacion,pbi_per_capita,co2_per_capita,electricity_TWh,energy_Mtoe,share_renewables,share_wind_solar,co2_per_pbi,co2_per_energy
Iran,IRN,2007,492.585520823,71336475.0,4904.6662518516705,6.905100382700435,203.98600000000002,190.951105923,8.887865,0.070103,1.4078634565794432,2.579642146831202
Iran,IRN,2008,501.868080952,72120604.0,5630.442994541131,6.958733747598675,214.53,204.62854375400002,2.423437,0.091363,1.2359122993244684,2.452581012135506
Iran,IRN,2009,520.519650117,72924837.0,5677.88852169889,7.137755414071066,221.37,204.23458467,3.369924,0.10164,1.2571143985643747,2.5486361722626456
Iran,IRN,2010,514.650052247,73762519.0,6603.212269144012,6.97712143272927,232.959,204.293995111,4.163394,0.069969,1.0566253435971593,2.519163874431908
Iran,IRN,2011,530.4616905959999,74634956.0,7818.057232195785,7.107416136160111,240.052,208.33017749,5.12264,0.090397,0.9091025973679036,2.546254685648998
Iran,IRN,2012,535.163497477,75539862.0,7927.647541586734,7.084517806995728,254.276,216.766090299,4.985528,0.081408,0.8936469198248119,2.4688524701387244
Iran,IRN,2013,558.2496956870001,76481943.0,6111.440608030828,7.299104517872933,262.434,220.97727343,5.707721,0.143274,1.1943345253623896,2.526276512610875
Iran,IRN,2014,584.096719358,77465753.0,5608.602511511296,7.5400637925510114,274.609,237.16576755100002,5.195387,0.130367,1.3443747844628882,2.462820521652207
Iran,IRN,2015,578.2510805860001,78492215.0,4916.085937931428,7.366986402231102,280.633,235.140087554,5.104888,0.079107,1.498547115580114,2.459176938314291
Iran,IRN,2016,590.110070341,79564016.0,5265.906634584248,7.416795933742208,289.094,247.62137587200002,5.776322,0.087861,1.4084556465608082,2.383114415154686
Iran,IRN,2017,605.366087516,80673951.0,5627.749268454558,7.503860663970704,307.859379079,254.55846226199998,4.995475,0.097059,1.333367978213313,2.3781023900629052
Iran,IRN,2018,631.774590868,81800269.0,,7.723380357930119,310.83532908499996,265.324133629,5.317909,0.166467,,2.3811425754108138
Kuwait,KWT,1990,28.072068961000003,2095344.0,8794.631228942731,13.397355737769074,18.477,9.113770613000002,0.0,0.0,1.5233561691227013,3.080181645230091
Kuwait,KWT,1991,7.821593521,2031296.0,5419.590830790933,3.8505434564928005,10.78,2.691724432,0.0,0.0,0.7104860083931565,2.905792817427605
Kuwait,KWT,1992,22.49939064,,,,16.885,8.824955216000001,0.0,0.0,,2.5495189595078847
Kuwait,KWT,1993,28.802289788,,,,20.178,12.304480861,0.0,0.0,,2.34079682949413
Kuwait,KWT,1994,33.371731134,,,,22.802,14.434597608,0.0,0.0,,2.3119266667679454
Kuwait,KWT,1995,33.328883423,1605901.0,16932.356980936493,20.754008760814024,23.724,14.799661158000001,0.0,0.0,1.2257011108483118,2.252003141638413
Kuwait,KWT,1996,32.422223345,1626857.0,19358.792839168145,19.929362780502526,25.475,14.555103312,0.0,0.0,1.0294734256456302,2.227550203526855
Kuwait,KWT,1997,33.545667307,1710256.0,17748.474236165584,19.614412875616285,26.724,14.702809306999999,0.0,0.0,1.1051323406520503,2.281582152536586
Kuwait,KWT,1998,39.712423197999996,1831119.0,14167.25481082456,21.687516320894492,29.984,16.796651785999998,0.0,0.0,1.5308199513941148,2.3643059166768157
Kuwait,KWT,1999,43.770182931,1951636.0,15434.168787086324,22.427431616858883,31.576,18.0263439,0.0,0.0,1.4531026533559603,2.4281231498640166
Kuwait,KWT,2000,47.079126028,2045123.0,18439.9003907245,23.02019293118311,32.323,18.724583747,0.0,0.0,1.2483903081582024,2.514294932486437
Kuwait,KWT,2001,51.051136104,2103282.0,16588.72787486094,24.272130938219412,34.299,19.983466856,0.0,0.0,1.46317011896989,2.5546686404252217
Kuwait,KWT,2002,53.104109756,2136997.0,17846.326057147686,24.84987566945578,36.362,20.549927616,0.0,0.0,1.3924364930844173,2.5841506962123595
Kuwait,KWT,2003,54.849836894,2161626.0,22148.06767043628,25.374341765874394,39.802,21.900422412,0.0,0.0,1.1456684232432888,2.5045104547365202
Kuwait,KWT,2004,57.815395597000006,2200492.0,27012.190266995607,26.273849483206483,41.256,23.368487632,0.0,0.0,0.9726663859357139,2.4740751950857787
Kuwait,KWT,2005,66.212628172,2270198.0,35590.704073159905,29.166014670086046,43.734,26.281896207000003,0.0,0.0,0.8194840599425253,2.5193246199018438
Kuwait,KWT,2006,67.99702911600001,2373672.0,42782.09235348529,28.64634587929588,47.607,25.663250588,0.0,0.0,0.6695873040197897,2.6495875447592385
Kuwait,KWT,2007,68.27244916800001,2504019.0,45782.83863598388,27.265148214929685,48.753,26.264812769000002,0.0,0.0,0.5955320602051996,2.599388382032597
Kuwait,KWT,2008,72.83295765700001,2656009.0,55495.23112810738,27.42195438983829,51.749,28.713684572,0.0,0.0,0.49413172686021206,2.5365242650893607
Kuwait,KWT,2009,79.93706896600001,2821045.0,37539.25602296196,28.335977967738906,53.216,31.409083188,0.0,0.0,0.7548358963322659,2.545030317743893
Kuwait,KWT,2010,78.85451392,2991884.0,38577.38165720313,26.356140117731837,57.029,32.085721007000004,0.0,0.0,0.6832018915107124,2.4576201327312126
Kuwait,KWT,2011,80.111067572,3168060.0,48618.88229133414,25.287105538405207,57.457,31.01509276,0.0,0.0,0.5201087385530538,2.582970432876435
Kuwait,KWT,2012,79.466982517,3348853.0,51978.998483639545,23.72961205433622,62.655,34.329601959,0.0,0.0,0.4565230717518565,2.314823883245363
Kuwait,KWT,2013,88.51439678199999,3526378.0,49388.10940124989,25.100654774388904,60.982,33.963696061,0.0,0.0,0.5082327523505824,2.6061473587275366
Kuwait,KWT,2014,83.227028863,3690942.0,44062.3050995611,22.548993959536617,65.14,31.624386902999998,0.0,0.0,0.5117524811420097,2.631735727186692
Kuwait,KWT,2015,92.179170657,3835591.0,29869.529390824766,24.032586023118732,68.288,33.66785676000001,0.0,0.0,0.8045853588339758,2.737898385219338
Kuwait,KWT,2016,91.768306184,3956873.0,27653.16440101049,23.192128275029297,70.09400000000001,35.830210194,0.002853,0.002853,0.8386790003021073,2.561199213935038
Kuwait,KWT,2017,91.071091445,4056097.0,29474.541431534213,22.452887947452933,72.787,35.997869141,0.002748,0.002748,0.7617722569020546,2.5299022863904463
Kuwait,KWT,2018,91.630620557,4137309.0,34243.95290985914,22.147395941903298,74.95821767300001,36.048302234000005,0.003244,0.003244,0.6467534866725876,2.54188449603532
Nigeria,NGA,1990,28.320070991,95212450.0,567.5286728583452,0.2974408387873645,13.463000000000001,66.43258592500001,32.585605,0.0,0.5240983460611964,0.4262978867475118
Nigeria,NGA,1991,33.589138584000004,97667632.0,502.9141389189393,0.34391269549772646,14.167,69.61533823399999,41.864897,0.0,0.6838397827450204,0.4824962348253755
Nigeria,NGA,1992,40.143755982,100161710.0,477.1776142275906,0.4007894432113829,14.834,72.366361328,40.845355,0.0,0.8399166919431927,0.5547295075407858
Nigeria,NGA,1993,36.637484389,102700753.0,270.2239614551638,0.35674017296640465,14.505,73.52816121200001,38.41434,0.0,1.320164840472875,0.49827826216631477
Nigeria,NGA,1994,30.848021979000002,105293700.0,321.32067718921667,0.2929712032058898,15.531,71.724176309,35.812246,0.0,0.9117720209252744,0.43009238399757227
Nigeria,NGA,1995,33.198861437,107948335.0,408.18105995030453,0.30754398793645127,15.857000000000001,72.970393387,34.684997,0.0,0.7534499223797751,0.4549634433369318
Nigeria,NGA,1996,36.927525037,110668794.0,461.5195778902226,0.3336760409352613,16.243000000000002,75.947415573,33.86074,0.0,0.7229943363629738,0.48622490651450256
Nigeria,NGA,1997,41.579918082999995,113457663.0,479.9837556454229,0.3664795923304008,16.117,79.072664897,34.702488,0.0,0.763524990210563,0.5258444006808417
Nigeria,NGA,1998,37.627985904,116319759.0,469.43056482933247,0.3234874816410168,15.111,80.01967136100001,38.217193,0.0,0.6891061338509665,0.4702341969669614
Nigeria,NGA,1999,39.460081341999995,119260063.0,497.8415405135045,0.33087422855042425,16.089,82.68029372299999,38.212443,0.0,0.6646175572434959,0.4772610203127882
Nigeria,NGA,2000,43.990401068,122283850.0,567.9307360095652,0.35974007252797485,14.727,87.064213569,38.215523,0.0,0.6334224399538679,0.5052638651945875
Nigeria,NGA,2001,49.657353949,125394046.0,590.3818150349067,0.3960104608874332,15.462,90.757939833,38.216272,0.0,0.670770086073906,0.5471406032394794
Nigeria,NGA,2002,51.356502541000005,128596076.0,741.7475111804632,0.39936290545132963,21.545,93.520797915,38.217684,0.0,0.538408150255548,0.5491452563062748
Nigeria,NGA,2003,55.613971739,131900631.0,795.3862467429866,0.4216353729119006,20.184,98.041488724,36.900515,0.0,0.5301014125381825,0.5672493600700089
Nigeria,NGA,2004,55.872272188000004,135320422.0,1007.8743275160411,0.4128886930902418,24.275000000000002,99.471517071,33.400618,0.0,0.4096628734535063,0.5616911637943547
Nigeria,NGA,2005,58.353391276,138865016.0,1268.3834433169327,0.4202166460413615,23.539,105.24248938800001,33.000552,0.0,0.33130095497183293,0.5544660869895157
Nigeria,NGA,2006,53.119586477999995,142538308.0,1656.424758680559,0.3726688440696237,23.11,105.910697629,27.100822,0.0,0.22498386486717128,0.5015507183615702
Nigeria,NGA,2007,49.119762256,146339977.0,1883.4613112493173,0.33565511805431,22.978,109.850534749,27.099835,0.0,0.17821184648155414,0.4471508706647161
Nigeria,NGA,2008,54.050825276000005,150269623.0,2242.871885536942,0.35969229307243294,21.11,113.159207375,27.1009,0.0,0.16037130582085068,0.47765291512585595
Nigeria,NGA,2009,45.799988652,154324933.0,1891.3353704642059,0.29677633912855805,19.777,111.083230674,22.900339,0.0,0.1569136514671736,0.41230335464774964
Nigeria,NGA,2010,55.941820649,158503197.0,2292.4451561908195,0.35293812180330975,26.121000000000002,127.201878461,24.401822,0.0,0.15395706233154122,0.4397876928063741
